type,identity
i,11458
i,10623
i,11317
i,10817
i,11858
i,833
i,2580
i,2235
i,1483
i,10914
i,2711
i,11936
i,2821
i,251
i,2231
i,451
i,10745
i,10395
i,10840
i,11482
i,10788
i,804
i,11550
i,10882
i,10605
i,1466
i,11024
i,11194
i,10912
i,11885
i,12007
i,1331
i,10898
i,2294
i,11835
i,11346
i,11578
i,11708
i,11234
i,11672
i,11286
i,10994
i,11541
i,12030
i,11838
i,10580
i,1274
i,11496
i,2778
i,11494
i,10354
i,10866
i,587
i,11406
i,11868
i,11213
i,1493
i,11133
i,11638
i,10565
i,10881
i,11677
i,1280
i,1210
i,11162
i,4209
i,11326
i,11260
i,11598
i,4368
i,11249
i,10864
i,11717
i,4014
i,2227
i,1457
i,10760
i,11975
i,3200
i,10469
i,11226
i,10358
i,11690
i,11187
i,4386
i,11311
i,8178
i,1505
i,10344
i,9116
i,10885
i,1300
i,11444
i,11863
i,10889
i,132
i,11882
i,11781
i,618
i,10377
i,11250
i,5450
i,1306
i,11514
i,11278
i,12045
i,10311
i,11330
i,6618
i,11805
i,10583
i,4174
i,10463
i,10613
i,10966
i,206
i,10953
i,363
i,11773
i,11573
i,11633
i,11001
i,10975
i,10461
i,8238
i,10572
i,10928
i,11921
i,11741
i,10326
i,10918
i,440
i,10937
i,11306
i,1089
i,11030
i,10835
i,11750
i,11743
i,11828
i,11036
i,10737
i,11581
i,11248
i,10364
i,11988
i,11138
i,11532
i,11210
i,10877
i,10347
i,11264
i,11549
i,359
i,10569
i,11714
i,4314
i,5551
i,11580
i,3690
i,12012
i,10579
i,2885
i,10582
i,11504
i,11810
i,10851
i,306
i,11479
i,11037
i,10943
i,11364
i,969
i,2613
i,11206
i,11640
i,10351
i,11844
i,11601
i,1464
i,1518
i,11108
i,11446
i,10339
i,11257
i,9290
i,11039
i,2985
i,11242
i,11430
i,1232
i,11804
i,2630
i,10742
i,11107
i,12013
i,2755
i,9655
i,11703
i,1420
i,11134
i,11740
i,11981
i,1192
i,9727
i,11283
i,10459
i,11002
i,11880
i,11215
i,11697
i,11701
i,117
i,1490
i,936
i,1733
i,11933
i,4374
i,5265
i,10873
i,1326
i,11587
i,10954
i,11679
i,11655
i,10940
i,5171
i,11875
i,10897
i,11262
i,1045
i,3766
i,3404
i,10949
i,11784
i,10333
i,4967
i,10822
i,1119
i,2703
i,11376
i,11307
i,11994
i,11782
i,10849
i,10740
i,11179
i,3323
i,3163
i,1487
i,11447
i,11490
i,10976
i,11153
i,10772
i,10939
i,2826
i,11068
i,3141
i,1219
i,9095
i,11761
i,10300
i,324
i,2048
i,1600
i,11363
i,10901
i,11067
i,4412
i,503
i,10811
i,10983
i,10990
i,11284
i,10917
i,11199
i,10392
i,5704
i,829
i,10797
i,11646
i,1451
i,3563
i,11815
i,11561
i,11164
i,10958
i,11094
i,11428
i,10801
i,11617
i,11509
i,10930
i,11056
i,10837
i,3170
i,10850
i,2581
i,10946
i,10477
i,11222
i,11178
i,1279
i,2784
i,11239
i,10879
i,11683
i,4080
i,1116
i,10473
i,629
i,514
i,11202
i,11038
i,11401
i,11747
i,3169
i,3543
i,627
i,1236
i,11776
i,11221
i,11488
i,1233
i,12011
i,10806
i,3331
i,11309
i,10872
i,5451
i,11449
i,2884
i,5501
i,2705
i,11031
i,11489
i,11676
i,2881
i,11985
i,11506
i,11069
i,11973
i,11502
i,2827
i,8334
i,11940
i,10957
i,11228
i,10402
i,11796
i,1356
i,779
i,11904
i,10902
i,10453
i,4273
i,1625
i,11416
i,1354
i,11369
i,11435
i,11943
i,11953
i,3429
i,11066
i,10820
i,2290
i,11453
i,11754
i,11420
i,10408
i,1715
i,10972
i,11816
i,38
i,11473
i,11725
i,11238
i,249
i,2901
i,10382
i,11628
i,289
i,10594
i,10860
i,12051
i,4379
i,11387
i,2316
i,3351
i,10327
i,11861
i,2648
i,11574
i,11720
i,11051
i,12048
i,10938
i,2715
i,11008
i,10753
i,10955
i,11866
i,10595
i,11551
i,11980
i,11622
i,11006
i,10603
i,10771
i,11329
i,9137
i,11084
i,1283
i,10974
i,11319
i,11433
i,10989
i,11427
i,11819
i,790
i,11952
i,11783
i,11806
i,11830
i,11663
i,1995
i,11848
i,1284
i,11000
i,1115
i,10704
i,11161
i,11516
i,10622
i,11290
i,11833
i,10805
i,11046
i,662
i,11505
i,1906
i,11055
i,11870
i,414
i,2670
i,11236
i,11464
i,2660
i,10790
i,11439
i,11454
i,11859
i,11003
i,10756
i,10621
i,10322
i,807
i,11429
i,11977
i,11087
i,10931
i,10299
i,10428
i,11339
i,11727
i,11086
i,11696
i,10951
i,11730
i,10357
i,1370
i,11846
i,1880
i,11684
i,11463
i,6324
i,11728
i,12016
i,369
i,1129
i,11524
i,10301
i,11503
i,10576
i,3903
i,11275
i,11312
i,11680
i,11802
i,10952
i,10596
i,10759
i,10922
i,10775
i,11786
i,1080
i,10987
i,11451
i,11889
i,11768
i,10707
i,11395
i,11526
i,11934
i,6492
i,11231
i,3643
i,11398
i,11460
i,10460
i,10738
i,11612
i,11930
i,11053
i,1606
i,11657
i,11877
i,10335
i,10455
i,10969
i,11879
i,10884
i,10337
i,10816
i,11083
i,119
i,11233
i,11999
i,11678
i,11812
i,10741
i,11966
i,10856
i,11530
i,11955
i,10843
i,5078
i,11075
i,2073
i,2661
i,4388
i,11331
i,11789
i,11787
i,4095
i,11795
i,11902
i,10373
i,11160
i,2591
i,11837
i,11583
i,10842
i,10328
i,10814
i,2813
i,11417
i,535
i,11197
i,10991
i,11092
i,964
i,11788
i,11078
i,215
i,11774
i,10730
i,10783
